worker_type,spouse_type,birth_yr,claim_age,death_age,pv_taxes,pv_benefits,ben_tax_ratio
low,none,1975,65,86,212209.85434234707,358649.3541030421,1.6900692722989756
low,none,1980,65,87,241767.28167119596,401389.08729211916,1.6602291448104596
low,none,1985,65,87,274968.14716461755,432781.6641626946,1.5739338124266353
low,none,1990,65,87,310803.60568033997,465034.30129799375,1.4962320024571378
low,none,1995,65,88,347546.2953116126,515738.11917010276,1.4839407760272285
low,none,2000,65,88,383439.1684605822,553907.9122526423,1.4445783264042948
low,none,2005,65,88,417424.03948072135,595798.3794622907,1.4273216755878946
low,none,2010,65,88,451682.52626414533,641032.5872394771,1.4192105073035286
max,max,1930,65,83,533257.8712622814,427431.888842693,0.8015482037441165
max,max,1935,65,84,727286.0254277361,550038.6369244793,0.7562892970492414
max,max,1940,65,84,866389.1124465353,688640.4513397248,0.7948396874415025
max,max,1945,65,84,992015.087896446,746110.7885756653,0.7521163716952962
max,max,1950,65,85,1030706.8145279381,794461.0294309317,0.7707924486700841
max,max,1955,65,85,1051794.4621220767,848663.8345499865,0.8068723168952056
max,max,1960,65,86,999696.6174087409,762007.5774006295,0.7622388273912417
max,max,1965,65,86,1060543.4751300432,818276.0749473067,0.7715629713783965
max,max,1970,65,86,1144141.9144880057,882952.4305275606,0.7717158329285356
max,max,1975,65,86,1271535.624439968,957045.0187024026,0.7526686632345996
max,max,1980,65,87,1441852.491732427,1071938.4843275344,0.7434453180710391
max,max,1985,65,87,1631661.1254448055,1154835.4612103063,0.7077667312172359
max,max,1990,65,87,1844126.915569343,1239416.5009694847,0.6720885045955939
max,max,1995,65,88,2075039.0119071344,1373149.484377459,0.6617463462122669
max,max,2000,65,88,2315287.1149673564,1474454.0496416572,0.6368342138259797
max,max,2005,65,88,2543143.697919915,1586706.6807978384,0.6239154641932485
max,max,2010,65,88,2766121.4990550466,1707614.3648473273,0.6173316556885433
max,none,1930,65,83,533257.8712622814,427431.888842693,0.8015482037441165
max,none,1935,65,84,727286.0254277361,550038.6369244793,0.7562892970492414
max,none,1940,65,84,866389.1124465353,688640.4513397248,0.7948396874415025
max,none,1945,65,84,992015.087896446,746110.7885756653,0.7521163716952962
max,none,1950,65,85,1030706.8145279381,794461.0294309317,0.7707924486700841
max,none,1955,65,85,1051794.4621220767,848663.8345499865,0.8068723168952056
max,none,1960,65,86,999696.6174087409,762007.5774006295,0.7622388273912417
max,none,1965,65,86,1060543.4751300432,818276.0749473067,0.7715629713783965
max,none,1970,65,86,1144141.9144880057,882952.4305275606,0.7717158329285356
max,none,1975,65,86,1271535.624439968,957045.0187024026,0.7526686632345996
max,none,1980,65,87,1441852.491732427,1071938.4843275344,0.7434453180710391
max,none,1985,65,87,1631661.1254448055,1154835.4612103063,0.7077667312172359
max,none,1990,65,87,1844126.915569343,1239416.5009694847,0.6720885045955939
max,none,1995,65,88,2075039.0119071344,1373149.484377459,0.6617463462122669
max,none,2000,65,88,2315287.1149673564,1474454.0496416572,0.6368342138259797
max,none,2005,65,88,2543143.697919915,1586706.6807978384,0.6239154641932485
max,none,2010,65,88,2766121.4990550466,1707614.3648473273,0.6173316556885433
medium,high,1930,65,83,366687.73901847017,347635.0144959479,0.9480410101152508
medium,high,1935,65,84,479053.45704948343,435194.3425544816,0.9084463041658596
medium,high,1940,65,84,537299.8989287239,527884.7678404717,0.9824769535467545
medium,high,1945,65,84,565981.3502457123,554363.243850678,0.9794726338774404
