worker_type,spouse_type,birth_yr,claim_age,irr_scheduled,irr_payable
very_low,low,1945,65,0.0418272417861634,0.0418272417861634
very_low,low,1950,65,0.03993628520812398,0.03949612246553317
very_low,low,1955,65,0.04007748977105927,0.03827293254187143
very_low,low,1960,65,0.03758092373234995,0.03386832964924758
very_low,low,1965,65,0.037766898766104375,0.031912936109997785
very_low,low,1970,65,0.038508276806974114,0.030448363386935386
very_low,low,1975,65,0.039082206022253624,0.030570917840553453
very_low,low,1980,65,0.04039366126738912,0.03144340268696745
very_low,low,1985,65,0.04061813581178381,0.031064175295671285
very_low,low,1990,65,0.04055012338860482,0.030366684628438567
very_low,low,1995,65,0.04116808605730329,0.030570594894246038
very_low,low,2000,65,0.040951902588973244,0.03001776846179393
very_low,low,2005,65,0.04079628196572846,0.029726787562768888
very_low,low,2010,65,0.04071640835868442,0.029698438524286747
very_low,medium,1930,65,0.04335272586958261,0.04335272586958261
very_low,medium,1935,65,0.039688782003373356,0.039688782003373356
very_low,medium,1940,65,0.03838926221831995,0.03838926221831995
very_low,medium,1945,65,0.03375862783397919,0.03375862783397919
very_low,medium,1950,65,0.032029361360671776,0.03154427583988499
very_low,medium,1955,65,0.03223155104820392,0.030280990264366994
very_low,medium,1960,65,0.029922821985198186,0.02599509423003393
very_low,medium,1965,65,0.0301200920153839,0.024057922305441373
very_low,medium,1970,65,0.030884450933351393,0.022687730647567687
very_low,medium,1975,65,0.03145205359906045,0.02278871556939753
very_low,medium,1980,65,0.032831921812582876,0.023724036842628412
very_low,medium,1985,65,0.0330170193790379,0.023295276247695063
very_low,medium,1990,65,0.03293347125102138,0.022578287788584745
very_low,medium,1995,65,0.033643391661432535,0.02289054444834853
very_low,medium,2000,65,0.033436293403170204,0.022358071563112595
very_low,medium,2005,65,0.03329306808038432,0.022097443820708343
very_low,medium,2010,65,0.033225666837006375,0.022096802905867265
very_low,high,1930,65,0.041157637315017544,0.041157637315017544
very_low,high,1935,65,0.036629378533351076,0.036629378533351076
very_low,high,1940,65,0.03476802516474619,0.03476802516474619
very_low,high,1945,65,0.02992859676539672,0.02992859676539672
very_low,high,1950,65,0.02830355763411629,0.027795830400833586
very_low,high,1955,65,0.028541897508040412,0.02651897228533858
very_low,high,1960,65,0.026153015758805024,0.022115716921275792
very_low,high,1965,65,0.026439189875786515,0.020274231887060557
very_low,high,1970,65,0.027217640927506417,0.01895294994167091
very_low,high,1975,65,0.02779216653535289,0.019053250400807093
very_low,high,1980,65,0.029207715837623688,0.020021736448454768
very_low,high,1985,65,0.029378536137696913,0.019573931380234867
very_low,high,1990,65,0.02928415535632148,0.018844518691964785
very_low,high,1995,65,0.03004464898333202,0.01921554009975482
very_low,high,2000,65,0.029841315951137093,0.01869236764982924
very_low,high,2005,65,0.029703387754565012,0.01844584923725053
very_low,high,2010,65,0.029641020925359817,0.01845759348250019
very_low,max,1930,65,0.038237293302181855,0.038237293302181855
very_low,max,1935,65,0.03333712115810069,0.03333712115810069
very_low,max,1940,65,0.030767226331046102,0.030767226331046102
very_low,max,1945,65,0.024550418492322965,0.024550418492322965
very_low,max,1950,65,0.0218454904619688,0.02129893724810698
very_low,max,1955,65,0.02083936274396744,0.018718727491289843
very_low,max,1960,65,0.01782771604744757,0.013723961821689062
very_low,max,1965,65,0.017807874059883207,0.0117045980907987
very_low,max,1970,65,0.0184025344821792,0.010390913365553095
very_low,max,1975,65,0.0188460389158964,0.010375096151794518
very_low,max,1980,65,0.020183667474815252,0.01130950388022108
very_low,max,1985,65,0.020432689757438862,0.010946215605825132
very_low,max,1990,65,0.020456575439220758,0.010333644599911714
very_low,max,1995,65,0.02135464567432868,0.010857186003053071
very_low,max,2000,65,0.021175222895573612,0.01037055166772199
very_low,max,2005,65,0.020943242952797366,0.010070703792284523
very_low,max,2010,65,0.02082680009500592,0.010050289069093951
low,none,1930,65,0.047466783108378555,0.047466783108378555
low,none,1935,65,0.04361333008726823,0.04361333008726823
low,none,1940,65,0.04229734504529672,0.04229734504529672
low,none,1945,65,0.03764650695181771,0.03764650695181771
low,none,1950,65,0.03583876643346717,0.03537583228909073
low,none,1955,65,0.036017732795997875,0.034139137481150425
low,none,1960,65,0.03359926772119876,0.029776300370732565
low,none,1965,65,0.033805944818587695,0.02784567114911224
low,none,1970,65,0.03455917616061091,0.026430215871061126
low,none,1975,65,0.03513710093903096,0.026549103720258465
low,none,1980,65,0.03648052588630678,0.027450684151834173
low,none,1985,65,0.03668511234119952,0.027046300738153877
low,none,1990,65,0.036608544618276964,0.02633820432683128
low,none,1995,65,0.03727428100591437,0.026598208441240598
low,none,2000,65,0.03706191640286942,0.026055162056189685
low,none,2005,65,0.03691240989241967,0.025779491356059694
low,none,2010,65,0.03683829055475774,0.0257647139422072
low,very_low,1930,65,0.05190610843547117,0.05190610843547117
