birth_yr,age,year,real_earnings,real_ben_sched,real_ben_payable
1995,28,2023,26839.23623195611,NA,NA
1995,29,2024,28933.98147683669,NA,NA
1995,30,2025,30906.206317583208,NA,NA
1995,31,2026,32837.31557915509,NA,NA
1995,32,2027,34704.795881218015,NA,NA
1995,33,2028,36465.110894380894,NA,NA
1995,34,2029,38171.470723079576,NA,NA
1995,35,2030,39757.896190039064,NA,NA
1995,36,2031,41248.56489294774,NA,NA
1995,37,2032,42740.98008791301,NA,NA
1995,38,2033,44174.287167654904,NA,NA
1995,39,2034,45493.8577082196,NA,NA
1995,40,2035,46786.43929900283,NA,NA
1995,41,2036,47964.049466616394,NA,NA
1995,42,2037,49114.755027231724,NA,NA
1995,43,2038,50292.84631894705,NA,NA
1995,44,2039,51445.12097298925,NA,NA
1995,45,2040,52491.636042774844,NA,NA
1995,46,2041,53545.652947308685,NA,NA
1995,47,2042,54554.37473062344,NA,NA
1995,48,2043,55447.429699347675,NA,NA
1995,49,2044,56214.645207185444,NA,NA
1995,50,2045,57043.34732890608,NA,NA
1995,51,2046,57745.95339804814,NA,NA
1995,52,2047,58324.741148758745,NA,NA
1995,53,2048,58837.53565670403,NA,NA
1995,54,2049,59215.272028092084,NA,NA
1995,55,2050,59448.731396943265,NA,NA
1995,56,2051,59122.865967869635,NA,NA
1995,57,2052,58632.83945386613,NA,NA
1995,58,2053,57971.10094082229,NA,NA
1995,59,2054,57058.23399407163,NA,NA
1995,60,2055,55593.32407420782,NA,NA
1995,61,2056,53256.7381952147,NA,NA
1995,62,2057,52205.75723395243,NA,NA
1995,63,2058,51117.94444273278,NA,NA
1995,64,2059,50068.179585591926,NA,NA
1995,65,2060,NA,29175.073443504174,21458.51450582159
1995,66,2061,NA,29279.09859652687,21454.51557160139
1995,67,2062,NA,29378.730800636702,21443.289035697122
1995,68,2063,NA,29479.536093494025,21449.15439696217
1995,69,2064,NA,29581.085794881787,21439.47997224509
1995,70,2065,NA,29682.974867405323,21446.26252676817
1995,71,2066,NA,29779.491756128464,21433.106526404445
1995,72,2067,NA,29886.263471695795,21443.526825610337
1995,73,2068,NA,29986.962872320764,21433.523234511416
1995,74,2069,NA,30086.599660621723,21438.946628267862
1995,75,2070,NA,30189.78740966393,21419.247118252915
1995,76,2071,NA,30295.948416058232,21429.45595923917
1995,77,2072,NA,30399.816423054373,21422.000700255077
1995,78,2073,NA,30501.156358607306,21428.902232675497
1995,79,2074,NA,30608.810480695363,21424.209321489114
1995,80,2075,NA,30713.149960633928,21444.7075591536
1995,81,2076,NA,30818.347369051804,21461.081746791333
1995,82,2077,NA,30923.976573406813,21489.039036228853
1995,83,2078,NA,31029.63524225829,21533.028222634133
1995,84,2079,NA,31134.943886289642,21583.303935720203
1995,85,2080,NA,31239.545017013577,21644.393458789993
1995,86,2081,NA,31347.032913737115,21718.866705038454
1995,87,2082,NA,31456.854586812067,21806.458231899796
1995,88,2083,NA,31564.711685732294,21904.344742104568
2000,21,2021,9300.738638697185,NA,NA
2000,22,2022,11279.841170174761,NA,NA
2000,23,2023,14483.139684776497,NA,NA
2000,24,2024,17639.091056665096,NA,NA
2000,25,2025,20226.86094245931,NA,NA
2000,26,2026,22701.884427346227,NA,NA
2000,27,2027,25069.265055492368,NA,NA
2000,28,2028,27360.684517472087,NA,NA
2000,29,2029,29504.537961265098,NA,NA
2000,30,2030,31516.810787606715,NA,NA
2000,31,2031,33413.27531128569,NA,NA
2000,32,2032,35282.77149647651,NA,NA
2000,33,2033,37019.00967748066,NA,NA
2000,34,2034,38719.859827835164,NA,NA
2000,35,2035,40265.867948503714,NA,NA
2000,36,2036,41668.26464314761,NA,NA
2000,37,2037,43056.05851845494,NA,NA
2000,38,2038,44373.90230951362,NA,NA
2000,39,2039,45621.45764708684,NA,NA
2000,40,2040,46887.16721325324,NA,NA
2000,41,2041,48058.885174594296,NA,NA
2000,42,2042,49195.21723072616,NA,NA
2000,43,2043,50345.73387452631,NA,NA
2000,44,2044,51448.12596201647,NA,NA
2000,45,2045,52442.52311798963,NA,NA
2000,46,2046,53446.62930637885,NA,NA
2000,47,2047,54407.1087768015,NA,NA
2000,48,2048,55257.14874646603,NA,NA
2000,49,2049,55992.78217600672,NA,NA
2000,50,2050,56795.72523416737,NA,NA
2000,51,2051,57482.841366033106,NA,NA
2000,52,2052,58045.794056939405,NA,NA
2000,53,2053,58544.16477866518,NA,NA
2000,54,2054,58907.61624771358,NA,NA
2000,55,2055,59133.197644157146,NA,NA
2000,56,2056,58802.114250710256,NA,NA
2000,57,2057,58313.64362096726,NA,NA
2000,58,2058,57661.82739954175,NA,NA
2000,59,2059,56765.82790859126,NA,NA
2000,60,2060,55323.831355718205,NA,NA
2000,61,2061,53015.84296799793,NA,NA
2000,62,2062,51986.415209462844,NA,NA
2000,63,2063,50917.44124684276,NA,NA
2000,64,2064,49885.116966341266,NA,NA
2000,65,2065,NA,30047.349971127594,21709.52738372923
2000,66,2066,NA,30152.53478099049,21701.595691910585
2000,67,2067,NA,30251.812736595097,21705.810047310973
2000,68,2068,NA,30355.4033717759,21696.870277665825
2000,69,2069,NA,30462.682156379495,21706.93346112121
2000,70,2070,NA,30568.142492760304,21687.684948348204
2000,71,2071,NA,30671.518024521763,21695.110371957013
2000,72,2072,NA,30777.27805798288,21687.988602788122
2000,73,2073,NA,30880.282449467668,21695.26118114895
2000,74,2074,NA,30984.85122520361,21687.413787694502
2000,75,2075,NA,31094.95552533681,21711.293978651607
2000,76,2076,NA,31201.18398233195,21727.67903557135
2000,77,2077,NA,31307.648739329976,21755.652423775115
2000,78,2078,NA,31413.954903309415,21799.7270105289
2000,79,2079,NA,31519.7302030542,21850.04474165732
2000,80,2080,NA,31628.635395371348,21913.975657750267
2000,81,2081,NA,31736.168494735233,21988.480222756178
2000,82,2082,NA,31845.876542642607,22076.13525913402
2000,83,2083,NA,31953.467551286572,22174.12203595088
2000,84,2084,NA,32066.076072039094,22275.801694146172
2000,85,2085,NA,32175.762879900853,22399.38043558279
2000,86,2086,NA,32285.860107850596,22535.73850221983
2000,87,2087,NA,32395.950314043297,22655.834786660984
2000,88,2088,NA,32505.63979019607,22817.640281394433
2005,21,2026,9047.054567600788,NA,NA
2005,22,2027,11376.800112980485,NA,NA
2005,23,2028,14798.231475136134,NA,NA
2005,24,2029,18027.98186231454,NA,NA
2005,25,2030,20673.563630068544,NA,NA
2005,26,2031,23152.80436932023,NA,NA
2005,27,2032,25544.95201215654,NA,NA
2005,28,2033,27839.6972225782,NA,NA
2005,29,2034,29996.735416386975,NA,NA
2005,30,2035,31992.35611098059,NA,NA
2005,31,2036,33830.30482546917,NA,NA
2005,32,2037,35624.007818583406,NA,NA
2005,33,2038,37271.181543617946,NA,NA
2005,34,2039,38917.09908890982,NA,NA
2005,35,2040,40444.67563685266,NA,NA
2005,36,2041,41845.961890054175,NA,NA
2005,37,2042,43225.045834959485,NA,NA
2005,38,2043,44521.970235086425,NA,NA
2005,39,2044,45728.27466931374,NA,NA
2005,40,2045,46950.233391577945,NA,NA
2005,41,2046,48079.515849501215,NA,NA
2005,42,2047,49174.419223866505,NA,NA
2005,43,2048,50287.49703118122,NA,NA
2005,44,2049,51362.05890310399,NA,NA
2005,45,2050,52334.070730913445,NA,NA
2005,46,2051,53324.560342435674,NA,NA
2005,47,2052,54270.506634599886,NA,NA
2005,48,2053,55107.14391832076,NA,NA
2005,49,2054,55829.02699958665,NA,NA
2005,50,2055,56623.23966871853,NA,NA
2005,51,2056,57301.49881770076,NA,NA
2005,52,2057,57861.581501484296,NA,NA
2005,53,2058,58364.767452792934,NA,NA
2005,54,2059,58739.51967723054,NA,NA
2005,55,2060,58980.88189942343,NA,NA
2005,56,2061,58669.76388386864,NA,NA
2005,57,2062,58201.20030875794,NA,NA
2005,58,2063,57566.77266091999,NA,NA
2005,59,2064,56687.38993957153,NA,NA
2005,60,2065,55258.92056000087,NA,NA
2005,61,2066,52961.85622957773,NA,NA
2005,62,2067,51940.2675831342,NA,NA
2005,63,2068,50875.883129941285,NA,NA
2005,64,2069,49846.54600796235,NA,NA
2005,65,2070,NA,31074.25383768143,22046.764123670477
2005,66,2071,NA,31181.90749243374,22056.12790718895
2005,67,2072,NA,31286.85126513636,22047.072271207733
2005,68,2073,NA,31393.489718803034,22055.820245545947
2005,69,2074,NA,31501.340922479998,22048.92353645853
2005,70,2075,NA,31609.94907772674,22070.875660765196
2005,71,2076,NA,31718.88349347215,22088.191278353417
2005,72,2077,NA,31827.737675359152,22117.06168244894
2005,73,2078,NA,31936.128355824534,22162.089494081574
2005,74,2079,NA,32047.788020741733,22216.103932783786
2005,75,2080,NA,32154.10796820504,22278.05058624301
2005,76,2081,NA,32266.807923369026,22356.135019643974
2005,77,2082,NA,32377.411492193245,22444.60486070157
2005,78,2083,NA,32485.647910928838,22543.428816847303
2005,79,2084,NA,32598.661418564312,22645.780407405346
2005,80,2085,NA,32708.52218868047,22770.264522542766
2005,81,2086,NA,32822.122881614254,22910.053375592972
2005,82,2087,NA,32935.36080912082,23033.066969702388
2005,83,2088,NA,33047.85514129145,23198.25345855995
2005,84,2089,NA,33159.24756127129,23351.370599866274
2005,85,2090,NA,33275.75034887352,23491.46408331721
2005,86,2091,NA,33387.02653043949,23646.381772721845
2005,87,2092,NA,33502.414123777024,23792.339284227553
2005,88,2093,NA,33618.17978235517,23939.35837367859
2010,21,2031,9236.850697961983,NA,NA
2010,22,2032,11605.360538931825,NA,NA
2010,23,2033,15073.78740268826,NA,NA
2010,24,2034,18348.784801060814,NA,NA
2010,25,2035,21008.4652325624,NA,NA
2010,26,2036,23467.427473271182,NA,NA
2010,27,2037,25820.235368410064,NA,NA
2010,28,2038,28060.01456887191,NA,NA
2010,29,2039,30182.53385673774,NA,NA
2010,30,2040,32169.59085665408,NA,NA
2010,31,2041,34011.757400461865,NA,NA
2010,32,2042,35802.964632738345,NA,NA
2010,33,2043,37436.47361547382,NA,NA
2010,34,2044,39050.90822296347,NA,NA
2010,35,2045,40543.39735591023,NA,NA
2010,36,2046,41909.74023665358,NA,NA
2010,37,2047,43254.05613105658,NA,NA
2010,38,2048,44519.13724444239,NA,NA
2010,39,2049,45701.73636427265,NA,NA
2010,40,2050,46904.414001068304,NA,NA
2010,41,2051,48022.201807752936,NA,NA
2010,42,2052,49104.63504914986,NA,NA
2010,43,2053,50205.8670408179,NA,NA
2010,44,2054,51267.891493592295,NA,NA
2010,45,2055,52232.23402950449,NA,NA
2010,46,2056,53214.50888561707,NA,NA
2010,47,2057,54157.47892061998,NA,NA
2010,48,2058,54998.40165035567,NA,NA
2010,49,2059,55730.638809760094,NA,NA
2010,50,2060,56539.19642285079,NA,NA
2010,51,2061,57235.09406842885,NA,NA
2010,52,2062,57813.209929941906,NA,NA
2010,53,2063,58332.32145931725,NA,NA
2010,54,2064,58722.54861698993,NA,NA
2010,55,2065,58976.15168208078,NA,NA
2010,56,2066,58674.16090571042,NA,NA
2010,57,2067,58213.17318526293,NA,NA
2010,58,2068,57582.735553406754,NA,NA
2010,59,2069,56705.548675150116,NA,NA
