birth_yr,claim_age,death_age,monthly_real_at_65_scheduled,monthly_real_at_65_payable,pv_benefits_scheduled,pv_benefits_payable,pv_taxes,ben_tax_ratio_scheduled,ben_tax_ratio_payable,rep_rate_career_scheduled,rep_rate_career_payable,rep_rate_awi_scheduled,rep_rate_awi_payable,irr_scheduled,irr_payable,marginal_irr_age64_scheduled,marginal_irr_age64_payable
2045,65,89,3578.3943200522663,2555.9605086115203,826907.206366459,590639.8162760541,407992.71468447766,2.026769539269715,1.4476724583987417,0.9772544400559513,0.6980292087015699,0.1611656285995407,0.11511671023442736,0.0479840203141375,0.037772692873603124,-0.8408961197775279,-0.8863559467617402
2050,65,89,3746.4085477593053,2675.969007534519,865717.2201551866,618360.8703887287,409047.1840771792,2.1164238597761442,1.5117103709777797,1.023134009717877,0.7307998755760524,0.1568606084871864,0.11204173849799914,0.04936323987149746,0.03917025650292144,-0.8403544091794037,-0.8859690159844096
2055,65,89,3810.2393658260703,2721.5618169397812,880473.3313247552,628900.8036763346,409941.30820452486,2.1478033896634687,1.5341240101682265,1.040547318423212,0.7432377807911622,0.14830833131900195,0.10593305377924515,0.04986793448417783,0.039682119184081065,-0.5502418208752855,-0.6787486114020578
2060,65,89,3809.841405416677,2721.277563445218,880404.0734222474,628851.3344317834,410667.9276892817,2.143834504866365,1.531289131757041,1.0403857091990045,0.7431223472313149,0.13785887031854188,0.0984692565381792,0.049860577564609994,0.03967544127193318,-0.551216916271162,-0.6794450984577236
2065,65,89,3809.919348297976,2721.3332361600474,880410.990199894,628856.2749187533,411206.249778123,2.141044769321825,1.529296491135699,1.0403474847800145,0.7430950444534025,0.12816166158671327,0.09154277489711883,0.04985645992304751,0.03967190864917118,-0.5487304803692806,-0.6776690974349167
2070,65,89,3809.989830132463,2721.383579629607,880417.7096315591,628861.0744462621,411537.5961430833,2.1393372510380697,1.528076852127065,1.0403432563325008,0.7430920241756211,0.11914633632396618,0.08510334612462604,0.049855066962807365,0.03967073928358995,-0.5516608260769447,-0.679762172494702
2075,65,89,3809.994227357201,2721.3867204608773,880422.2725279154,628864.3336127622,411689.4730651614,2.138559108574933,1.5275210437873565,1.0403446590741419,0.7430930261200459,0.11076325833412043,0.07911551628636963,0.04985517715283703,0.039670869648465217,-0.5483484797934639,-0.6773962436634284
2080,65,89,3810.013402206979,2721.400416592273,880427.6391725189,628868.166877194,411719.72529141844,2.13841500683346,1.5274181153989554,1.040351032061947,0.7430975781910851,0.10297040899811544,0.07354927249910101,0.04985544845435653,0.039671130046218396,-0.5501519727542991,-0.6786844350624746
2085,65,89,3810.0125265119805,2721.399791104516,880428.564388935,628868.8277369009,411719.7252914184,2.1384172540330946,1.5274197205192992,1.0403507929472513,0.7430974073972418,0.09572532886769623,0.06837428700594077,0.049855477737206264,0.03967116075312014,-0.550697039266309,-0.6790737628879426
2090,65,89,3809.9310363791033,2721.3415846736857,880418.2768166204,628861.4795728324,411719.7252914184,2.138392267199376,1.5274018730283554,1.0403285414917067,0.7430815137207645,0.08898813545316207,0.06356207270917333,0.049855129479214964,0.039670807103483564,-0.5514699632334679,-0.6796258437821865
