worker_type,spouse_type,birth_yr,claim_age,age,year,earnings,tax,pv_ben_through_t,delta_pv_ben,net_tax
high,high,1945,65,52,1997,47666.388,5910.632111999999,1209693.0527776934,16790.294600469526,-0.01134062321866973
high,high,1945,65,53,1998,49843.70688,6180.619653119999,1222107.9068312682,12414.854053574849,0.02294046335906528
high,high,1945,65,54,1999,52225.30576,6475.9379142399985,1229864.5145432693,7756.607712001074,0.06018352457216484
high,high,1945,65,55,2000,54534.57472,6762.28726528,1237557.9278636314,7693.413320362102,0.05962553552708054
high,high,1945,65,56,2001,54782.07487999999,6792.977285119999,1243123.624380842,5565.696517210454,0.07522881828952727
high,high,1945,65,57,2002,54067.89833999999,6704.419394159999,1248017.7090854878,4894.084704645909,0.07841838429446678
high,high,1945,65,58,2003,53992.94574999999,6695.125272999999,1252116.9010131918,4099.191927704029,0.0842012270141062
high,high,1945,65,59,2004,54863.11845,6803.0266878,1255275.1059032455,3158.2048900537193,0.09252595420789989
high,high,1945,65,60,2005,54616.445320000006,6772.439219680001,1257680.5665435265,2405.460640280973,0.09888391796467612
high,high,1945,65,61,2006,53996.019770000006,6695.506451480001,1259608.7570966096,1928.1905530830843,0.10265842069634476
high,high,1945,65,62,2007,54506.99252,6758.8670724799995,1261244.4684474207,1635.7113508111795,0.1052224260551671
high,high,1945,65,63,2008,53859.46591,6678.57377284,1262354.3154633048,1109.8470158840064,0.11064186387526592
high,high,1945,65,64,2009,51215.20538,6350.68546712,1262953.4455920162,599.130128711462,0.1161966263154178
high,high,1950,65,21,1971,2878.20644,264.79499247999996,979505.1719474694,0,0.09199999999999998
high,high,1950,65,22,1972,3895.0548,358.3450416,979505.1719474694,0,0.09199999999999998
high,high,1950,65,23,1973,5290.951679999999,513.2223129599998,979505.1719474694,0,0.09699999999999998
high,high,1950,65,24,1974,6697.65384,663.06773016,979505.1719474694,0,0.099
high,high,1950,65,25,1975,8113.064799999999,803.1934152,979505.1719474694,0,0.09900000000000002
high,high,1950,65,26,1976,9530.953839999998,943.56443016,979505.1719474694,0,0.099
high,high,1950,65,27,1977,10943.19336,1083.37614264,979505.1719474694,0,0.099
high,high,1950,65,28,1978,12646.12394,1277.2585179400005,979505.1719474694,0,0.10100000000000003
high,high,1950,65,29,1979,14544.475819999998,1477.7187433119998,979505.1719474694,0,0.1016
high,high,1950,65,30,1980,16630.388339999998,1689.6474553439998,983609.6933185472,4104.521371077863,0.07963517002661201
high,high,1950,65,31,1981,19075.7435,2041.1045545,983855.761646596,246.06832804868463,0.1056993157880979
high,high,1950,65,32,1982,20852.4729,2252.0670732000003,984134.3008377124,278.53919111634605,0.106480728228618
high,high,1950,65,33,1983,22538.83596,2434.1942836800004,984373.9225707438,239.62173303146847,0.1066577777717043
high,high,1950,65,34,1984,24509.171329999997,2794.04553162,984646.453377583,272.53080683911685,0.11242208723971854
high,high,1950,65,35,1985,26142.18054,2980.20858156,984938.871381564,292.4180039811181,0.1122412744445886
high,high,1950,65,36,1986,27437.76288,3127.9049683200005,985157.9247048842,219.05332332011312,0.11264430910471228
high,high,1950,65,37,1987,29666.6811,3382.0016453999997,999214.7408774252,14056.81617254112,0.02678186119772801
high,high,1950,65,38,1988,31591.82136,3828.928748832,1015700.9533705148,16486.212493089493,0.01668853459465535
high,high,1950,65,39,1989,33244.655699999996,4029.25227084,1032493.359803426,16792.406432911288,0.0112390836457159
high,high,1950,65,40,1990,35179.81054,4362.2965069599995,1049361.8818074514,16868.52200402529,0.01063979734460172
high,high,1950,65,41,1991,36839.7924,4568.134257599999,1066263.8599934003,16901.978185948916,0.00685569077298742
high,high,1950,65,42,1992,39036.08484,4840.474520159999,1083479.757599769,17215.897606368642,0.0033982189859661
high,high,1950,65,43,1993,39695.66172,4922.262053279999,1100769.028394871,17289.270795102,-0.00236864228007258
high,high,1950,65,44,1994,41022.34631,5086.770942439999,1118295.55083737,17526.522442498943,-0.0087609695336681
high,high,1950,65,45,1995,42889.02576,5318.239194239999,1135685.650591179,17390.09975380916,-0.01068795430288768
high,high,1950,65,46,1996,45193.8416,5604.0363584,1153342.1838320766,17656.53324089758,-0.01434269971435272
high,high,1950,65,47,1997,47968.074,5948.041176,1170876.743049294,17534.55921721738,-0.01398435428831661
