worker_type,spouse_type,birth_yr,claim_age,death_age,pv_taxes_pb,pv_ben_pb,ben_tax_ratio_pb
high,high,1985,65,87,977690.940375843,696348.6281603482,0.7122379878989761
high,max,1985,65,87,1304676.0329103242,773816.2215713263,0.5931098617985526
high,none,1985,65,87,977690.940375843,696348.6281603482,0.7122379878989761
low,high,1985,65,87,626329.5437702303,521671.4064296785,0.8329024418829815
low,low,1985,65,87,274968.14716461755,319023.8917324722,1.1602212657071127
low,max,1985,65,87,953314.6363047115,636377.9148772524,0.6675423733595596
low,medium,1985,65,87,443013.4441521861,422643.5823443533,0.9540197660438602
low,none,1985,65,87,274968.14716461755,319023.8917324722,1.1602212657071127
max,max,1985,65,87,1631661.1254448055,851283.8149823045,0.521728318280695
max,none,1985,65,87,1631661.1254448055,851283.8149823045,0.521728318280695
medium,high,1985,65,87,794374.8407577989,611305.9505582913,0.7695434437162336
medium,max,1985,65,87,1121359.93329228,688773.5439692694,0.6142305637290343
medium,medium,1985,65,87,611058.7411397547,526263.2729562344,0.8612318874199252
medium,none,1985,65,87,611058.7411397547,526263.2729562344,0.8612318874199252
very_low,high,1985,65,87,565205.9917843458,520225.95445636887,0.9204183289246887
very_low,low,1985,65,87,213844.5951787331,281349.9456921032,1.315674803269863
very_low,max,1985,65,87,892191.084318827,634931.7410960607,0.7116544339611065
very_low,medium,1985,65,87,381889.89216630167,394291.50556052633,1.0324743169395647
very_low,none,1985,65,87,152721.04319284865,243675.99965173416,1.5955626975650765
very_low,very_low,1985,65,87,152721.04319284865,243675.99965173416,1.5955626975650765
high,high,1990,65,87,1105105.155825509,734244.2766537227,0.6644112307169948
high,max,1990,65,87,1474616.035697426,815388.0168822324,0.5529493760703552
high,none,1990,65,87,1105105.155825509,734244.2766537227,0.6644112307169948
low,high,1990,65,87,707954.3807529245,550063.9569986191,0.776976556615999
low,low,1990,65,87,310803.60568033997,336382.4189064349,1.08229895908094
low,max,1990,65,87,1077465.2606248413,670219.980994898,0.6220339582978531
low,medium,1990,65,87,500747.1634491937,445658.5476089396,0.8899871634603009
low,none,1990,65,87,310803.60568033997,336382.4189064349,1.08229895908094
max,max,1990,65,87,1844126.915569343,896531.757110742,0.4861551282298556
max,none,1990,65,87,1844126.915569343,896531.757110742,0.4861551282298556
medium,high,1990,65,87,897897.9385217782,644589.4764825834,0.7178872440043464
medium,max,1990,65,87,1267408.8183936952,725733.2167110932,0.5726117778089017
medium,medium,1990,65,87,690690.7212180474,554934.6763114443,0.8034488654094055
medium,none,1990,65,87,690690.7212180474,554934.6763114443,0.8034488654094055
very_low,high,1990,65,87,638863.2732185168,548536.6960876391,0.8586136018183934
very_low,low,1990,65,87,241712.4981459323,296641.54952585854,1.2272495290945327
