worker_type,spouse_type,birth_yr,claim_age,age,year,earnings,tax,pv_ben_through_t_sched,delta_pv_ben_sched,net_tax_sched,pv_ben_through_t_pb,delta_pv_ben_pb,net_tax_pb
high,high,1935,65,41,1976,15583.52472,1514.7,784295.8261838872,12669.403268719674,0.03321382314516179,784295.8261838872,12669.403268719674,0.03321382314516179
high,high,1935,65,42,1977,16644.60688,1633.5,797244.2652462468,12948.439062359626,0.03256751862560207,797244.2652462468,12948.439062359626,0.03256751862560207
high,high,1935,65,43,1978,18114.14748,1787.7000000000003,810005.9044880593,12761.639241812518,0.03443789365964255,810005.9044880593,12761.639241812518,0.03443789365964255
high,high,1935,65,44,1979,19825.02742,2014.2227858719998,823256.3318953649,13250.427407305571,0.03509639883530185,823256.3318953649,13250.427407305571,0.03509639883530185
high,high,1935,65,45,1980,21723.36656,2207.094042496,836453.4154428284,13197.083547463524,0.03450303327840478,836453.4154428284,13197.083547463524,0.03450303327840478
high,high,1935,65,46,1981,24020.2864,2570.1706448000004,849762.2314709127,13308.816028084257,0.037666487686729366,849762.2314709127,13308.816028084257,0.037666487686729366
high,high,1935,65,47,1982,25415.313660000003,2744.8538752800005,863268.4123171382,13506.18084622547,0.03298844868523758,863268.4123171382,13506.18084622547,0.03298844868523758
high,high,1935,65,48,1983,26683.909239999997,2881.86219792,876679.6159477555,13411.203630617354,0.029253303610584817,876679.6159477555,13411.203630617354,0.029253303610584817
high,high,1935,65,49,1984,28236.372499999998,3218.946465,890061.3229574583,13381.707009702804,0.03053911898500315,890061.3229574583,13381.707009702804,0.03053911898500315
high,high,1935,65,50,1985,29439.392499999998,3356.090745,903459.2794323798,13397.956474921433,0.025196551553337256,903459.2794323798,13397.956474921433,0.025196551553337256
high,high,1935,65,51,1986,30261.219540000002,3449.7790275600005,916758.7638281243,13299.484395744512,0.021382672307266776,916758.7638281243,13299.484395744512,0.021382672307266776
high,high,1935,65,52,1987,32025.274379999995,3650.8812793199995,930082.2232656985,13323.45943757426,0.018961998783079054,930082.2232656985,13323.45943757426,0.018961998783079054
